"JW_ID"	"Solubility..."
"1435"	"JW1413"	97
"1436"	"JW5823"	72
"1438"	"JW1433"	87
"1439"	"JW1441"	103
"1443"	"JW1477"	101
"1444"	"JW5034"	136
"1445"	"JW1511"	77
"1448"	"JW5248"	81
"1449"	"JW5249"	12
"1452"	"JW1534"	103
"1453"	"JW1537"	78
"1456"	"JW1549"	114
"1457"	"JW1550"	21
"1458"	"JW1556"	94
"1459"	"JW1558"	93
"1460"	"JW1560"	86
"1461"	"JW1561"	75
"1469"	"JW5267"	90
"1470"	"JW1643"	100
"1471"	"JW1646"	91
"1472"	"JW1665"	112
"1474"	"JW1669"	104
"1475"	"JW1674"	86
"1476"	"JW1676"	78
"1478"	"JW1690"	84
"1479"	"JW1695"	130
"1481"	"JW1706"	100
"1482"	"JW1707"	122
"1483"	"JW5829"	114
"1484"	"JW1720"	108
"1485"	"JW1725"	112
"1488"	"JW1748"	90
"1490"	"JW1767"	97
"1492"	"JW1781"	136
"1494"	"JW1786"	97
"1495"	"JW5295"	77
"1496"	"JW5296"	106
"1497"	"JW1812"	94
"1500"	"JW5302"	93
"1501"	"JW5303"	75
"1503"	"JW1831"	96
"1505"	"JW1837"	108
"1508"	"JW5309"	108
"1510"	"JW1871"	95
"1511"	"JW1881"	88
"1512"	"JW1884"	84
"1513"	"JW1891"	106
"1515"	"JW1894"	76
"1516"	"JW1900"	105
"1518"	"JW1911"	93
"1520"	"JW1915"	91
"1521"	"JW1917"	18
"1522"	"JW1920"	17
"1524"	"JW1926"	90
"1526"	"JW1930"	108
"1533"	"JW1985"	23
"1534"	"JW1986"	83
"1535"	"JW1987"	92
"1536"	"JW1989"	9
"1537"	"JW1991"	133
"1538"	"JW5835"	84
"1540"	"JW2046"	25
"1542"	"JW5340"	24
"1543"	"JW2074"	91
"1544"	"JW2078"	72
"1545"	"JW2081"	14
"1547"	"JW5426"	8
"1549"	"JW2990"	74
"1551"	"JW3749"	10
"1552"	"JW5044"	14
"1554"	"JW0225"	17
"1555"	"JW2590"	109
"1556"	"JW2648"	103
"1563"	"JW2105"	17
"1564"	"JW2108"	10
"1571"	"JW2278"	18
"1573"	"JW2447"	81
"1574"	"JW5405"	6
"1575"	"JW2568"	8
"1576"	"JW2573"	75
"1579"	"JW5433"	74
"1581"	"JW2755"	76
"1584"	"JW2790"	6
"1585"	"JW2797"	9
"1587"	"JW5462"	12
"1589"	"JW2871"	22
"1590"	"JW5482"	3
"1592"	"JW2987"	18
"1594"	"JW5511"	22
"1596"	"JW5522"	17
"1598"	"JW2110"	12
"1600"	"JW2121"	79
"1604"	"JW2172"	26
"1610"	"JW2235"	6
"1611"	"JW2249"	3
"1612"	"JW5374"	4
"1615"	"JW2309"	16
"1618"	"JW2338"	16
"1619"	"JW2370"	22
"1621"	"JW2409"	90
"1622"	"JW2449"	11
"1623"	"JW2452"	21
"1625"	"JW2476"	7
"1626"	"JW2486"	8
"1630"	"JW2510"	102
"1631"	"JW2531"	5
"1632"	"JW2558"	20
"1633"	"JW5416"	13
"1634"	"JW2609"	17
"1635"	"JW2663"	26
"1637"	"JW2691"	7
"1638"	"JW2701"	10
"1639"	"JW2730"	10
"1641"	"JW2734"	24
"1642"	"JW2751"	77
"1644"	"JW2787"	15
"1645"	"JW2837"	10
"1646"	"JW2843"	18
"1647"	"JW5469"	25
"1648"	"JW2884"	17
"1656"	"JW2998"	77
"1660"	"JW3039"	93
"1662"	"JW3052"	17
"1664"	"JW5344"	5
"1667"	"JW2100"	85
"1668"	"JW5349"	12
"1669"	"JW5350"	8
"1670"	"JW2117"	9
"1671"	"JW5838"	3
"1672"	"JW2128"	10
"1673"	"JW2133"	23
"1675"	"JW2136"	15
"1677"	"JW2138"	10
"1678"	"JW2147"	9
"1679"	"JW2152"	98
"1680"	"JW2153"	22
"1681"	"JW2155"	79
"1682"	"JW2156"	91
"1685"	"JW2174"	76
"1691"	"JW2218"	9
"1695"	"JW2237"	14
"1696"	"JW2241"	6
"1698"	"JW5372"	13
"1703"	"JW2263"	29
"1704"	"JW2279"	12
"1705"	"JW5375"	18
"1706"	"JW2284"	12
"1707"	"JW2287"	21
"1708"	"JW2293"	113
"1709"	"JW2312"	85
"1710"	"JW2316"	102
"1711"	"JW2317"	15
"1713"	"JW2320"	13
"1719"	"JW2361"	8
"1724"	"JW2371"	82
"1726"	"JW2376"	77
"1727"	"JW2381"	93
"1728"	"JW2385"	80
"1729"	"JW2395"	87
"1730"	"JW2400"	12
"1732"	"JW2407"	77
"1733"	"JW2415"	14
"1735"	"JW2430"	5
"1736"	"JW2434"	13
"1738"	"JW2437"	9
"1739"	"JW2439"	76
"1740"	"JW2442"	82
"1741"	"JW2448"	18
"1743"	"JW2456"	20
"1746"	"JW2484"	93
"1750"	"JW5878"	12
"1751"	"JW2522"	14
"1753"	"JW5842"	7
"1756"	"JW2536"	87
"1764"	"JW2565"	81
"1767"	"JW2581"	72
"1769"	"JW5414"	107
"1771"	"JW2602"	8
"1772"	"JW2603"	19
"1773"	"JW2605"	22
"1774"	"JW2611"	8
"1776"	"JW2635"	15
"1778"	"JW2637"	77
"1780"	"JW2652"	73
"1784"	"JW2669"	88
"1790"	"JW5434"	24
"1792"	"JW2686"	28
"1793"	"JW2699"	29
"1794"	"JW2700"	24
"1795"	"JW2707"	21
"1801"	"JW2728"	17
"1802"	"JW2736"	20
"1804"	"JW2750"	101
"1805"	"JW2758"	15
"1806"	"JW2759"	19
"1807"	"JW2766"	4
"1808"	"JW2768"	90
"1809"	"JW2770"	77
"1810"	"JW2774"	9
"1812"	"JW2781"	10
"1816"	"JW2802"	11
"1819"	"JW2807"	7
"1821"	"JW2820"	20
"1823"	"JW2839"	75
"1824"	"JW2840"	82
"1825"	"JW2841"	24
"1826"	"JW2842"	97
"1827"	"JW2847"	6
"1829"	"JW2866"	82
"1831"	"JW2873"	101
"1833"	"JW2875"	15
"1834"	"JW2876"	75
"1836"	"JW2885"	23
"1837"	"JW2887"	7
"1839"	"JW2893"	100
"1843"	"JW2914"	77
"1844"	"JW2917"	19
"1845"	"JW2922"	9
"1850"	"JW5486"	24
"1851"	"JW5848"	8
"1853"	"JW2970"	13
"1854"	"JW2975"	28
"1855"	"JW2978"	92
"1856"	"JW5849"	22
"1857"	"JW5501"	11
"1862"	"JW3024"	77
"1863"	"JW3026"	79
"1864"	"JW3028"	84
"1865"	"JW3032"	13
"1866"	"JW3036"	15
"1868"	"JW3046"	99
"1873"	"JW3062"	114
"1874"	"JW3073"	24
"1876"	"JW3088"	72
"1878"	"JW3093"	99
"1880"	"JW5343"	11
"1881"	"JW5758"	111
"1882"	"JW2088"	25
"1884"	"JW2090"	14
"1887"	"JW5352"	94
"1888"	"JW2115"	115
"1898"	"JW2144"	15
"1901"	"JW2150"	24
"1902"	"JW5362"	92
"1904"	"JW2181"	78
"1911"	"JW2196"	12
"1913"	"JW2200"	18
"1915"	"JW2205"	90
"1917"	"JW2216"	26
"1921"	"JW2226"	79
"1922"	"JW2231"	24
"1924"	"JW2239"	7
"1928"	"JW2250"	11
"1929"	"JW2257"	72
"1934"	"JW2276"	72
"1936"	"JW5875"	78
"1940"	"JW2296"	19
"1941"	"JW2301"	17
"1945"	"JW2308"	22
"1948"	"JW5381"	77
"1955"	"JW2334"	79
"1957"	"JW2337"	79
"1958"	"JW2342"	81
"1960"	"JW5384"	12
"1961"	"JW5385"	77
"1962"	"JW2357"	103
"1963"	"JW2358"	8
"1964"	"JW2366"	108
"1965"	"JW5770"	8
"1967"	"JW2378"	77
"1968"	"JW2379"	18
"1971"	"JW2398"	6
"1974"	"JW2410"	114
"1975"	"JW2411"	11
"1980"	"JW5394"	79
"1981"	"JW2420"	25
"1983"	"JW2424"	20
"1986"	"JW2429"	102
"1987"	"JW2431"	80
"1988"	"JW2432"	20
"1989"	"JW2433"	17
"1990"	"JW2438"	81
"1991"	"JW2443"	106
"1992"	"JW2444"	89
"1993"	"JW2451"	73
"1994"	"JW5396"	103
"1996"	"JW2464"	127
"1997"	"JW2466"	75
"1998"	"JW2473"	17
"2000"	"JW2483"	108
"2001"	"JW2485"	98
"2004"	"JW5404"	131
"2005"	"JW2515"	103
"2006"	"JW2516"	79
"2007"	"JW2517"	87
"2009"	"JW2521"	11
"2010"	"JW2523"	6
"2011"	"JW2525"	10
"2014"	"JW2543"	16
"2017"	"JW2550"	92
